category,items,Alcampo,Mercadona,Dia,Consum,Bonpreu Esclat,Carrefour,Caprabo,Condis,Ametller Origen
Seeds,4,1.63,1.60,1.74,1.67,1.76,1.77,1.96,1.56,1.71
Starches,2,1.74,1.63,1.77,1.87,1.77,1.62,1.58,1.62,1.89
Veggies,8,2.00,2.02,2.10,1.94,1.90,1.96,2.07,1.85,1.93
Fruit,4,1.92,1.85,2.09,2.16,1.85,1.85,2.17,2.01,2.03
Avocado,1,1.32,1.71,1.69,1.23,1.33,1.58,1.31,1.27,1.73
Nuts,3,9.72,9.50,10.04,9.07,9.52,8.69,10.25,9.15,8.47
Meat,3,6.33,6.61,6.93,6.30,7.17,6.01,6.23,6.65,6.39
Yogurt,1,1.37,1.33,1.51,1.15,1.57,1.11,1.16,1.38,1.42
Eggs,1,2.33,2.21,3.00,2.34,2.70,2.72,2.52,2.69,2.62
Delivery,1,4.90,7.21,3.50,4.50,5.95,6.90,5.50,4.95,3.90
