category,item,Alcampo,Mercadona,Dia,Consum,Bonpreu Esclat,Carrefour,Caprabo,Condis,Ametller Origen
Seeds,Brown rice,1.61,1.65,1.65,1.69,1.65,1.43,1.65,1.99,1.65
Seeds,Dried lentils,1.84,1.95,1.95,1.65,1.65,1.85,1.95,1.75,2.61
Seeds,Cooked chickpeas,1.63,2.61,2.13,2.13,2.13,1.89,2.13,1.88,1.49
Seeds,Dried white beans,1.79,2.45,2.45,2.45,2.45,2.45,2.50,2.49,2.61
Starches,Potato,1.84,1.90,1.89,1.90,1.24,1.77,1.65,1.49,2.00
Starches,Sweet potato,2.99,3.35,3.29,3.75,2.69,5.90,3.35,2.49,2.70
Veggies,Onion,2.35,2.00,1.00,1.79,1.49,2.40,2.06,1.25,1.49
Veggies,Carrot,1.18,1.20,1.35,1.20,1.35,1.19,1.35,1.50,1.82
Veggies,Bell pepper,2.39,2.10,2.29,2.50,2.69,2.65,2.50,2.95,3.59
Veggies,Mushroom,4.96,5.00,5.96,5.00,5.16,3.95,5.00,5.35,7.56
Veggies,Cauliflower,1.78,2.05,1.99,3.98,2.13,2.25,2.13,3.33,1.86
Veggies,Spinach,1.67,4.33,5.96,4.33,2.23,4.17,2.60,4.63,5.96
Veggies,Green beans,3.96,3.93,4.78,3.93,1.80,5.60,1.80,1.79,4.20
Veggies,Eggplant,1.99,2.20,2.97,2.20,2.19,2.15,1.98,1.99,1.99
Fruit,Banana,1.48,1.25,1.19,2.90,1.25,1.49,2.90,1.79,2.89
Fruit,Apple,1.44,2.20,1.99,2.20,2.19,2.19,2.20,1.99,2.47
Fruit,Kiwi,2.88,3.25,3.99,3.49,6.98,3.19,4.70,4.96,5.00
Fruit,Orange,1.89,1.95,1.99,1.95,1.95,1.89,2.45,2.49,2.50
Avocado,Avocado,4.98,4.70,3.76,5.30,5.29,4.99,4.99,7.98,4.58
Nuts,Almonds,11.47,11.50,11.50,10.15,12.00,11.22,14.57,13.17,12.50
Nuts,Walnuts,11.67,12.50,12.00,6.17,5.98,6.14,12.51,6.58,8.00
Nuts,Hazelnuts,19.89,21.50,19.75,24.95,23.92,21.45,27.93,26.63,25.43
Meat,Pork loin,6.95,4.95,7.49,6.45,7.99,6.35,6.90,11.49,10.90
Meat,Chicken breast,6.95,6.65,6.99,6.95,8.49,6.49,6.00,8.96,11.49
Meat,Chicken thigh,4.59,4.20,6.99,4.05,8.35,3.49,5.24,6.25,7.59
Yogurt,Plain natural yogurt,1.40,1.33,1.32,1.50,1.34,1.40,2.00,1.76,2.00
Eggs,Eggs (up to 12),2.59,3.00,3.00,3.00,2.99,3.19,3.00,3.85,2.99
