date,item,store,price,url
2026-05-26,Brown rice,Alcampo,1.61,https://www.compraonline.alcampo.es/products/producto-alcampo-arroz-integral-1-kg/886785
2026-05-26,Dried lentils,Alcampo,1.84,https://www.compraonline.alcampo.es/products/producto-alcampo-lentejas-extra-1-kg/11793
2026-05-26,Cooked chickpeas,Alcampo,1.63,https://www.compraonline.alcampo.es/products/el-plato-de-oro-categor%C3%ADa-extra-garbanzos-cocidos-en-frasco-de-400-g/99179
2026-05-26,Dried white beans,Alcampo,1.79,https://www.compraonline.alcampo.es/products/rubio-garc%C3%ADa-alubia-blanca-seca-paquete-de-1-kg/212147
2026-05-26,Potato,Alcampo,1.84,https://www.compraonline.alcampo.es/products/patata-blanca-al-peso/51961
2026-05-26,Sweet potato,Alcampo,2.99,https://www.compraonline.alcampo.es/products/batata-al-peso/75732
2026-05-26,Onion,Alcampo,2.35,https://www.compraonline.alcampo.es/products/cebolla-tubo-1-kg/50139
2026-05-26,Carrot,Alcampo,1.18,https://www.compraonline.alcampo.es/products/zanahoria-bolsa-de1-kg/73734
2026-05-26,Bell pepper,Alcampo,2.39,https://www.compraonline.alcampo.es/products/pimiento-italiano-al-peso/55210
2026-05-26,Mushroom,Alcampo,4.96,https://www.compraonline.alcampo.es/products/champi%C3%B1ones-con-pie-cortado-barqueta-de-250-g/54981
2026-05-26,Cauliflower,Alcampo,2.04,https://www.compraonline.alcampo.es/products/coliflor-1-ud/55822
2026-05-26,Spinach,Alcampo,4.13,https://www.compraonline.alcampo.es/products/producto-econ%C3%B3mico-alcampo-espinacas-troceadas-300-g/57744
2026-05-26,Green beans,Alcampo,3.96,https://www.compraonline.alcampo.es/products/jud%C3%ADas-verdes-malla-500-g/55433
2026-05-26,Eggplant,Alcampo,1.99,https://www.compraonline.alcampo.es/products/berenjenas-al-peso/73445
2026-05-26,Banana,Alcampo,1.48,https://www.compraonline.alcampo.es/products/banana-al-peso/59772
2026-05-26,Apple,Alcampo,1.44,https://www.compraonline.alcampo.es/products/manzanas-gala-1-kg/56761
2026-05-26,Kiwi,Alcampo,2.88,https://www.compraonline.alcampo.es/products/kiwis-1-kg/75101
2026-05-26,Orange,Alcampo,1.89,https://www.compraonline.alcampo.es/products/alcampo-cultivamos-lo-bueno-naranja-al-peso/77086
2026-05-26,Avocado,Alcampo,4.98,https://www.compraonline.alcampo.es/products/aguacate-malla-de-500-g/766535
2026-05-26,Almonds,Alcampo,11.47,https://www.compraonline.alcampo.es/products/producto-alcampo-almendras-crudas-con-piel-150-g/237872
2026-05-26,Walnuts,Alcampo,11.67,https://www.compraonline.alcampo.es/products/producto-econ%C3%B3mico-alcampo-nueces-mondadas-150-g/527860
2026-05-26,Hazelnuts,Alcampo,19.89,https://www.compraonline.alcampo.es/products/producto-alcampo-avellanas-tostadas-175-g/521924
2026-05-26,Pork loin,Alcampo,6.95,https://www.compraonline.alcampo.es/products/trozos-de-cinta-de-lomo-de-cerdo-bandeja/71290
2026-05-26,Chicken breast,Alcampo,6.95,https://www.compraonline.alcampo.es/products/auchan-pechuga-de-pollo-fileteada-6-8-uds-producto-alcampo/24024
2026-05-26,Chicken thigh,Alcampo,4.59,https://www.compraonline.alcampo.es/products/auchan-muslos-de-pollo-2-uds-producto-alcampo/23829
2026-05-26,Plain natural yogurt,Alcampo,1.40,https://www.compraonline.alcampo.es/products/auchan-yogur-natural-4-x-125-g-producto-alcampo/51414
2026-05-26,Eggs (up to 12),Alcampo,2.59,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-m-y-categor%C3%ADa-a-12-uds-producto-alcampo/228739
2026-05-26,Brown rice,Mercadona,1.65,https://tienda.mercadona.es/product/5184/arroz-integral-largo-hacendado
2026-05-26,Dried lentils,Mercadona,1.95,https://tienda.mercadona.es/product/5330/lenteja-pardina-hacendado-paquete
2026-05-26,Cooked chickpeas,Mercadona,2.13,https://tienda.mercadona.es/product/26029/garbanzo-cocido-hacendado-tarro
2026-05-26,Dried white beans,Mercadona,2.45,https://tienda.mercadona.es/product/5124/alubia-blanca-hacendado-paquete
2026-05-26,Potato,Mercadona,1.90,https://tienda.mercadona.es/product/69066/patata-pieza
2026-05-26,Sweet potato,Mercadona,3.35,https://tienda.mercadona.es/product/69239/batata-pieza
2026-05-26,Onion,Mercadona,2.00,https://tienda.mercadona.es/product/69089/cebollas-malla
2026-05-26,Carrot,Mercadona,1.20,https://tienda.mercadona.es/product/69586/zanahorias-paquete
2026-05-26,Bell pepper,Mercadona,2.10,https://tienda.mercadona.es/product/69310/pimiento-rojo-pieza
2026-05-26,Mushroom,Mercadona,5.00,https://tienda.mercadona.es/product/26951/champinones-blancos-bandeja
2026-05-26,Cauliflower,Mercadona,2.05,https://tienda.mercadona.es/product/69220/coliflor-pieza
2026-05-26,Spinach,Mercadona,4.33,https://tienda.mercadona.es/product/69730/espinacas-cortadas-y-lavadas-paquete
2026-05-26,Green beans,Mercadona,3.93,https://tienda.mercadona.es/product/69889/judia-verde-plana-bandeja
2026-05-26,Eggplant,Mercadona,2.20,https://tienda.mercadona.es/product/69326/berenjena-pieza
2026-05-26,Banana,Mercadona,1.25,https://tienda.mercadona.es/product/3824/banana-pieza
2026-05-26,Apple,Mercadona,2.20,https://tienda.mercadona.es/product/3028/manzana-golden-pieza
2026-05-26,Kiwi,Mercadona,3.25,https://tienda.mercadona.es/product/3820/kiwi-verde-pieza
2026-05-26,Orange,Mercadona,1.95,https://tienda.mercadona.es/product/3235/naranja-de-mesa-pieza
2026-05-26,Avocado,Mercadona,4.70,https://tienda.mercadona.es/product/3858/aguacates
2026-05-26,Almonds,Mercadona,11.50,https://tienda.mercadona.es/product/34865/almendra-natural-hacendado-paquete
2026-05-26,Walnuts,Mercadona,12.50,https://tienda.mercadona.es/product/34024/nuez-natural-hacendado-pelada-paquete
2026-05-26,Hazelnuts,Mercadona,21.50,https://tienda.mercadona.es/product/34025/avellana-tostada-hacendado-0-sal-anadida-paquete
2026-05-26,Pork loin,Mercadona,4.95,https://tienda.mercadona.es/product/4590/lomo-de-cerdo-trozo-pieza
2026-05-26,Chicken breast,Mercadona,6.65,https://tienda.mercadona.es/product/3724/pechugas-enteras-de-pollo-bandeja
2026-05-26,Chicken thigh,Mercadona,4.20,https://tienda.mercadona.es/product/2777/contramuslos-de-pollo-sin-piel-bandeja
2026-05-26,Plain natural yogurt,Mercadona,1.33,https://tienda.mercadona.es/product/22313/yogur-natural-hacendado-pack-6
2026-05-26,Eggs (up to 12),Mercadona,3.00,https://tienda.mercadona.es/product/31505/huevos-medianos-m-paquete
2026-05-26,Brown rice,Dia,1.65,https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/61996
2026-05-26,Dried lentils,Dia,1.95,https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/158
2026-05-26,Cooked chickpeas,Dia,2.13,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/1232
2026-05-26,Dried white beans,Dia,2.45,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/154
2026-05-26,Potato,Dia,1.89,https://www.dia.es/verduras/patatas-y-zanahorias/p/5631
2026-05-26,Sweet potato,Dia,3.29,https://www.dia.es/verduras/patatas-y-zanahorias/p/60753
